,index,Filename,Date,JDate,Days,Julian,TTR,WordCount,UniqueWords,UniqueStems,MLU,Fillers,NSNouns,LIVerbs,$,",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PRP,PRP$,RB,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,PDT,POS,RBR,'',``,WP$,FW,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,Nouns,Nouns/100,NounsNormalised,Adjectives,Adjectives/100,AdjectivesNormalised,Adverbs,Adverbs/100,AdverbsNormalised,Verbs,Verbs/100,VerbsNormalised,Pronouns,PronounsNormalised,UniqueWordsNormalised,UniqueStemsNormalised
0,0,Trump - Speech1 - Edited.txt,27/01/2017,2017-01-27,0,2457780.5,0.2754374594944913,1543.0,425.0,374.0,17.5,6.0,8.0,70.0,1.0,107.0,100.0,0.0,83.0,4.0,129.0,1.0,153.0,89.0,0.0,1.0,39.0,128.0,85.0,3.0,55.0,203.0,20.0,119.0,0.0,8.0,39.0,1.0,85.0,44.0,52.0,20.0,106.0,35.0,8.0,11.0,14.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1,1453,20.23,79.93,54.51,83.33,14.53,15.55,91.81,62.08,21.4,14.11,5.99,3.72,2.55,0.89,0.96,7.3,6.33,11.63,12.8,5.99,8.33,2.06,23.68,4.4,1.45,1.86,0.55,2.41,5.51,4.27,1.03,0.07,0.07,0.21,14.11,0.14,0.07,0.07,0.89,12.04,3.1,1.31,1.45,2.34,1.38,3.92,1.86,0.69,0.76,0.34,0.28,0.0,0.14,0.0,0.07,11.22,5.44,1.58,2.27,1.93,0.76,3.99,15.07,3.44,11.01,2.48,5.64,3.1,2.13,0.07,0.07,0.62,0.21,0.0,0.69,0.0,0.0,0.41,0.28,0.0,19.13,6.61,7.36,0.0,0.0,0.28,0.0,0.0,0.0,4.54,0.0,0.34,271.0,2.71,0.17563188593648738,90.0,0.9,0.05832793259883344,121.0,1.21,0.07841866493843162,342.0,3.42,0.22164614387556708,223.0,0.14452365521710953,0.28679381072328175,0.2428931270241094
1,1,Trump - Speech2 - Edited.txt,10/02/2017,2017-02-10,14,2457794.5,0.312724658519051,1391.0,435.0,388.0,16.020408163265305,10.0,1.0,62.0,0.0,79.0,98.0,3.0,67.0,1.0,107.0,1.0,136.0,98.0,4.0,3.0,48.0,149.0,96.0,5.0,44.0,142.0,25.0,115.0,0.0,2.0,44.0,2.0,87.0,27.0,43.0,17.0,75.0,24.0,9.0,8.0,7.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1333,28.55,90.27,48.53,96.57,13.6,14.55,91.82,59.34,17.7,11.4,3.38,5.93,1.65,0.23,0.23,6.3,5.78,11.93,12.83,7.28,7.95,0.83,22.36,5.1,1.88,1.58,0.15,3.08,6.45,5.7,0.75,0.23,0.08,0.23,11.48,0.08,0.0,0.08,0.23,10.43,2.7,2.03,0.9,2.1,1.73,1.88,1.43,0.53,0.3,0.6,0.68,0.08,0.38,0.0,0.15,14.1,6.83,1.95,3.15,2.18,0.9,3.53,14.18,4.73,13.95,2.4,6.6,5.48,3.75,0.15,0.08,1.35,0.45,0.0,0.68,0.0,0.0,0.23,0.45,0.0,17.55,7.35,5.93,0.15,0.08,0.15,0.0,0.45,0.15,3.3,0.0,0.0,294.0,2.94,0.2113587347232207,105.0,1.05,0.07548526240115025,116.0,1.16,0.08339324227174695,273.0,2.73,0.19626168224299065,167.0,0.12005751258087707,0.2571667130531589,0.21486223211800723
2,2,Trump - Speech3 - Edited.txt,13/02/2017,2017-02-13,17,2457797.5,0.3548046462513199,947.0,336.0,309.0,15.955223880597014,8.0,1.0,40.0,0.0,55.0,67.0,2.0,41.0,1.0,75.0,1.0,97.0,68.0,3.0,0.0,16.0,88.0,49.0,6.0,52.0,108.0,12.0,84.0,0.0,3.0,30.0,0.0,49.0,16.0,31.0,8.0,62.0,21.0,8.0,3.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1,896,35.59,93.11,29.37,98.11,13.37,15.18,92.08,58.15,18.42,10.94,1.9,6.7,1.45,0.0,0.89,7.48,5.13,13.17,10.71,7.37,6.47,1.45,20.98,5.58,2.01,1.45,0.78,4.02,8.82,7.03,1.56,0.11,0.0,0.11,13.06,0.11,0.0,0.33,0.22,12.72,1.9,1.67,1.9,2.57,2.01,3.01,1.23,0.67,0.22,0.0,0.22,0.0,0.0,0.0,0.11,14.29,7.7,1.45,2.23,2.12,1.34,2.34,14.29,3.35,12.83,3.24,7.37,2.57,2.01,0.33,0.22,1.23,0.22,0.0,1.23,0.0,0.0,0.45,0.78,0.0,17.86,7.48,6.14,0.0,0.22,0.0,0.0,0.11,0.0,3.91,0.0,0.0,195.0,1.95,0.20591341077085534,71.0,0.71,0.07497360084477296,88.0,0.88,0.09292502639915523,187.0,1.87,0.19746568109820486,120.0,0.12671594508975711,0.27158071748878926,0.2312219730941704
3,3,Trump - Speech4 - Edited.txt,15/02/2017,2017-02-15,19,2457799.5,0.3190243902439024,1025.0,327.0,302.0,14.134146341463415,6.0,7.0,38.0,0.0,52.0,82.0,2.0,43.0,12.0,87.0,4.0,88.0,73.0,6.0,2.0,24.0,90.0,47.0,5.0,23.0,128.0,3.0,86.0,0.0,4.0,46.0,0.0,72.0,16.0,25.0,22.0,76.0,27.0,8.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,960,28.86,63.85,47.5,98.78,11.71,12.71,90.94,60.21,18.85,11.04,5.21,1.98,1.98,0.42,1.46,7.81,6.46,12.6,13.33,6.56,7.71,1.35,24.58,6.04,2.81,0.62,1.77,2.6,8.23,6.98,1.15,0.1,0.21,0.21,9.58,0.31,0.1,0.1,0.73,12.71,3.65,1.46,1.77,3.44,0.52,3.44,2.92,1.88,0.52,0.52,0.42,0.0,0.1,0.0,0.0,7.71,2.6,0.94,2.6,1.98,0.42,3.65,16.98,2.81,10.52,1.88,5.73,3.02,1.15,0.31,0.21,0.0,0.21,0.0,0.42,0.0,0.0,0.31,0.1,0.0,20.52,7.92,5.42,0.0,0.21,0.62,0.0,0.62,0.0,5.52,0.0,0.21,165.0,1.65,0.16097560975609757,81.0,0.81,0.07902439024390244,86.0,0.86,0.08390243902439025,238.0,2.38,0.23219512195121952,131.0,0.1278048780487805,0.2639040348964013,0.22055616139585604
4,4,Trump - Speech5 - Edited.txt,16/02/2017,2017-02-16,20,2457800.5,0.1429680567879325,9016.0,1289.0,1024.0,12.963054187192116,47.0,48.0,410.0,0.0,687.0,812.0,22.0,345.0,46.0,786.0,11.0,761.0,556.0,27.0,18.0,149.0,850.0,518.0,9.0,241.0,1261.0,62.0,741.0,4.0,47.0,226.0,37.0,474.0,420.0,205.0,143.0,567.0,283.0,51.0,61.0,51.0,8.0,8.0,8.0,15.0,13.0,0.0,3.0,1,8327,17.89,72.38,48.59,69.46,10.27,12.27,91.8,61.16,21.68,13.44,5.85,1.78,2.49,2.15,1.18,8.24,6.23,10.77,13.01,6.41,6.88,2.85,24.2,4.6,2.01,1.5,0.73,2.15,5.92,4.06,1.74,0.11,0.4,0.16,14.31,0.08,0.17,0.46,2.01,13.35,3.3,1.38,1.59,2.59,1.87,3.9,3.11,1.14,1.61,0.35,0.32,0.04,0.18,0.0,0.02,8.26,2.22,1.31,2.49,2.03,0.88,5.51,15.89,2.08,11.47,1.99,5.44,4.01,1.89,0.19,0.14,0.17,0.05,0.04,1.26,0.04,0.02,0.78,0.41,0.0,24.28,9.02,8.25,0.12,0.14,0.77,0.0,0.11,0.34,5.42,0.0,0.12,1618.0,16.18,0.17945874001774623,601.0,6.01,0.06665927240461401,753.0,7.53,0.08351818988464951,2092.0,20.92,0.23203194321206744,1323.0,0.14673913043478262,0.2509773260359656,0.21553296846494657
5,5,Trump - Speech6 - Edited.txt,17/03/2017,2017-03-17,49,2457829.5,0.3076923076923077,1274.0,392.0,344.0,14.294117647058824,8.0,7.0,73.0,1.0,82.0,102.0,8.0,54.0,7.0,114.0,1.0,97.0,76.0,8.0,5.0,27.0,126.0,46.0,7.0,51.0,154.0,9.0,136.0,0.0,4.0,35.0,2.0,62.0,19.0,33.0,24.0,90.0,43.0,8.0,3.0,7.0,0.0,0.0,0.0,9.0,7.0,0.0,1.0,1,1185,25.01,80.76,46.71,96.36,11.62,14.6,91.56,61.6,17.89,11.39,4.05,4.14,2.53,0.0,0.68,6.5,7.76,10.55,13.92,8.44,6.24,2.19,23.04,5.49,2.45,0.93,1.01,3.38,7.51,6.16,1.27,0.08,0.08,0.51,11.98,0.0,0.08,0.17,0.0,12.07,2.03,0.68,1.35,3.29,2.11,3.63,1.6,0.84,0.68,0.08,0.34,0.0,0.25,0.08,0.0,11.39,5.32,1.43,3.46,1.77,0.84,3.12,16.79,3.97,12.15,2.78,5.82,3.88,3.97,0.42,0.08,1.6,0.0,0.0,1.52,0.08,0.34,0.51,0.59,0.0,22.53,8.35,6.92,0.0,0.68,0.25,0.0,0.08,1.35,4.89,0.0,0.0,230.0,2.3,0.18053375196232338,89.0,0.89,0.06985871271585557,136.0,1.36,0.10675039246467818,271.0,2.71,0.21271585557299844,163.0,0.12794348508634223,0.24605433376455368,0.2056921086675291
6,6,Trump - Speech7 - Edited.txt,05/04/2017,2017-04-05,68,2457848.5,0.3408119658119658,936.0,319.0,277.0,14.236842105263158,2.0,4.0,46.0,0.0,70.0,76.0,0.0,47.0,10.0,79.0,3.0,78.0,64.0,4.0,2.0,25.0,88.0,50.0,2.0,29.0,127.0,6.0,61.0,0.0,3.0,21.0,1.0,51.0,30.0,26.0,24.0,58.0,26.0,5.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,892,14.14,65.69,61.54,37.68,11.74,11.88,91.48,61.55,20.74,12.0,6.17,1.79,3.03,0.22,0.78,8.74,6.5,9.3,15.13,5.94,8.18,1.79,24.22,4.6,2.58,2.35,1.35,3.14,7.29,3.92,3.25,0.78,1.23,0.22,10.76,0.34,0.0,0.0,0.22,10.65,1.68,1.79,1.01,1.91,1.68,3.59,3.7,1.12,1.68,0.9,0.22,0.0,0.0,0.0,0.0,7.96,2.35,1.12,3.14,0.9,1.01,6.05,14.24,3.25,12.56,1.46,6.5,4.93,1.91,0.0,0.11,0.34,0.0,0.22,0.67,0.0,0.0,0.34,0.34,0.0,20.52,7.96,7.85,0.0,0.0,0.56,0.0,0.11,0.0,4.04,0.0,0.0,169.0,1.69,0.18055555555555555,70.0,0.7,0.07478632478632478,61.0,0.61,0.06517094017094018,215.0,2.15,0.2297008547008547,133.0,0.1420940170940171,0.27155053704213716,0.2299641971908565
7,7,Trump - Speech8 - Edited.txt,12/04/2017,2017-04-12,75,2457855.5,0.3093065693430657,1096.0,339.0,301.0,13.147368421052631,4.0,4.0,55.0,0.0,57.0,95.0,5.0,40.0,3.0,84.0,5.0,106.0,65.0,2.0,2.0,42.0,89.0,65.0,0.0,26.0,145.0,2.0,94.0,1.0,5.0,30.0,0.0,79.0,37.0,31.0,18.0,55.0,45.0,7.0,6.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1,1012,15.97,75.55,51.63,61.37,10.65,10.77,94.57,62.15,20.55,11.46,4.55,3.46,1.88,0.79,0.79,9.09,5.63,11.36,14.92,7.91,6.32,2.17,27.67,3.26,1.28,1.38,0.3,2.47,6.42,4.15,2.27,0.49,0.3,0.49,11.96,0.2,0.0,0.0,1.09,14.82,3.36,1.09,3.26,3.66,1.68,3.66,2.96,1.78,0.99,0.2,0.4,0.1,0.2,0.0,0.0,9.88,4.35,1.38,2.17,1.88,1.09,5.04,18.28,4.84,13.74,2.67,6.82,4.64,1.19,0.0,0.1,0.69,0.0,0.4,0.89,0.0,0.0,0.3,0.59,0.0,21.15,8.99,5.63,0.1,0.4,0.4,0.0,0.1,0.0,5.53,0.0,0.0,180.0,1.8,0.16423357664233576,69.0,0.69,0.06295620437956205,97.0,0.97,0.0885036496350365,265.0,2.65,0.2417883211678832,147.0,0.13412408759124086,0.2835348301669545,0.24467472654001152
8,8,Trump - Speech9 - Edited.txt,20/04/2017,2017-04-20,83,2457863.5,0.3228271251193887,1047.0,338.0,294.0,12.141414141414142,3.0,6.0,49.0,0.0,56.0,99.0,1.0,48.0,10.0,98.0,5.0,93.0,62.0,4.0,0.0,24.0,95.0,49.0,3.0,22.0,135.0,9.0,99.0,0.0,3.0,28.0,3.0,51.0,19.0,32.0,26.0,72.0,39.0,6.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,991,20.69,72.75,49.25,93.55,10.01,12.11,93.24,62.16,20.18,11.3,4.44,4.14,1.51,0.71,0.5,8.88,6.66,11.3,13.32,7.47,7.37,2.02,24.82,4.44,2.52,1.31,1.51,3.03,6.36,5.25,0.91,0.2,0.1,0.0,11.1,0.0,0.0,0.0,0.71,12.31,2.83,1.11,1.01,3.33,1.72,4.24,3.13,1.61,1.11,0.4,0.61,0.1,0.4,0.0,0.0,11.81,4.34,2.02,3.03,3.03,0.4,3.63,17.96,2.83,11.1,1.21,6.36,4.24,2.02,0.1,0.1,0.3,0.4,0.0,0.81,0.0,0.0,0.5,0.3,0.0,21.9,9.69,5.65,0.0,0.1,0.3,0.0,0.61,0.0,5.35,0.0,0.2,169.0,1.69,0.16141356255969436,66.0,0.66,0.06303724928366762,100.0,1.0,0.09551098376313276,239.0,2.39,0.2282712511938873,144.0,0.13753581661891118,0.23955296404275997,0.20262390670553937
9,9,Trump - Speech10 - Edited.txt,18/05/2017,2017-05-18,111,2457891.5,0.3082865168539326,1424.0,439.0,382.0,13.705882352941176,16.0,6.0,64.0,0.0,86.0,119.0,6.0,58.0,0.0,122.0,9.0,134.0,99.0,1.0,3.0,20.0,145.0,76.0,3.0,53.0,154.0,11.0,114.0,0.0,4.0,50.0,1.0,69.0,35.0,39.0,20.0,99.0,56.0,15.0,16.0,11.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,1338,22.47,82.68,38.24,81.11,11.24,17.94,91.85,60.91,19.43,11.06,3.66,3.59,2.99,0.3,0.52,8.37,6.28,11.73,12.63,8.0,7.77,1.72,23.84,4.63,1.49,2.39,0.37,2.17,7.03,5.01,1.94,0.0,0.3,0.07,11.29,0.0,0.0,0.07,0.3,12.11,2.54,1.64,2.02,2.17,1.64,3.06,2.47,1.42,0.82,0.07,0.6,0.07,0.3,0.0,0.22,9.94,3.89,1.42,3.21,1.57,0.37,4.11,16.82,2.24,12.26,2.69,6.58,3.59,3.29,0.07,0.07,0.97,0.0,0.15,0.45,0.0,0.0,0.07,0.37,0.0,21.15,8.74,6.43,0.15,0.3,0.3,0.0,0.22,0.15,4.71,0.0,0.15,277.0,2.77,0.19452247191011235,103.0,1.03,0.0723314606741573,115.0,1.15,0.08075842696629214,318.0,3.18,0.22331460674157302,165.0,0.11587078651685394,0.2488062327217894,0.20985172153807488
10,10,Trump - Speech11 - Edited.txt,09/06/2017,2017-06-09,133,2457913.5,0.3526522593320236,1018.0,359.0,318.0,11.19626168224299,3.0,2.0,47.0,0.0,72.0,107.0,5.0,46.0,8.0,94.0,4.0,76.0,57.0,3.0,0.0,22.0,99.0,60.0,5.0,28.0,122.0,7.0,104.0,0.0,1.0,31.0,7.0,64.0,30.0,27.0,17.0,64.0,18.0,3.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,962,16.63,82.79,30.76,89.84,8.99,13.41,92.62,59.77,19.75,12.37,4.37,3.12,3.22,0.83,0.83,7.38,5.93,9.67,12.27,8.32,6.55,3.22,22.35,3.95,1.04,1.66,1.14,2.49,6.76,5.3,1.46,0.1,0.42,0.42,15.07,0.0,0.31,0.0,1.35,14.97,2.39,1.35,2.7,2.7,2.81,4.37,2.49,0.52,1.66,0.21,0.31,0.1,0.0,0.0,0.0,9.67,4.16,1.46,3.43,1.04,0.52,5.2,14.86,1.77,10.4,1.87,4.57,4.37,2.39,0.21,0.21,2.29,0.0,0.1,1.87,0.0,0.1,0.73,1.14,0.0,23.8,9.56,7.48,0.21,0.31,1.46,0.1,0.21,0.0,4.47,0.0,0.0,192.0,1.92,0.18860510805500982,60.0,0.6,0.05893909626719057,104.0,1.04,0.10216110019646366,220.0,2.2,0.21611001964636542,129.0,0.12671905697445973,0.2575019235701462,0.21697871249038214
11,11,Trump - Speech12 - Edited.txt,13/07/2017,2017-07-13,167,2457947.5,0.3430051813471502,965.0,331.0,299.0,13.25,1.0,4.0,36.0,0.0,63.0,84.0,2.0,41.0,11.0,117.0,0.0,99.0,65.0,1.0,3.0,20.0,115.0,44.0,0.0,27.0,101.0,6.0,83.0,2.0,1.0,15.0,3.0,39.0,37.0,18.0,17.0,49.0,29.0,12.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,925,40.17,80.03,36.43,93.46,11.01,13.3,94.16,59.46,18.16,10.16,3.57,2.16,2.27,1.62,0.54,8.0,9.3,10.81,11.68,6.49,6.7,1.51,20.76,5.73,1.41,0.76,2.16,2.59,6.38,5.19,0.86,0.0,0.11,0.0,12.43,0.32,0.0,0.54,1.73,11.24,2.59,0.97,1.08,4.0,0.86,3.35,2.81,1.3,0.65,0.86,0.22,0.0,0.11,0.0,0.11,10.59,2.49,1.41,3.46,2.7,0.97,4.54,12.97,2.81,12.11,2.27,5.41,5.08,4.54,0.0,0.11,0.32,0.0,0.32,0.76,0.0,0.0,0.43,0.32,0.0,21.62,9.19,6.81,0.11,0.11,0.22,0.0,0.76,0.22,4.22,0.0,0.0,186.0,1.86,0.1927461139896373,69.0,0.69,0.07150259067357513,85.0,0.85,0.08808290155440414,189.0,1.89,0.19585492227979276,107.0,0.11088082901554404,0.2570056044835869,0.2201761409127302
12,12,Trump - Speech13 - Edited.txt,25/07/2017,2017-07-25,179,2457959.5,0.3627992633517495,1086.0,394.0,355.0,13.955056179775282,3.0,3.0,59.0,0.0,66.0,89.0,5.0,43.0,17.0,95.0,0.0,108.0,66.0,2.0,0.0,22.0,91.0,74.0,4.0,40.0,133.0,6.0,83.0,0.0,6.0,32.0,1.0,58.0,32.0,25.0,18.0,64.0,34.0,10.0,13.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1038,33.84,77.96,42.37,67.64,11.66,13.97,90.27,59.83,19.56,11.56,3.85,2.6,2.89,1.16,1.06,8.0,6.45,12.33,12.72,5.78,5.78,1.73,23.6,4.72,1.45,2.12,1.73,1.73,6.36,4.24,2.02,0.29,0.29,0.67,11.56,0.0,0.0,0.0,1.16,11.27,2.02,1.54,1.25,2.6,1.16,3.76,2.02,0.96,0.77,0.29,0.67,0.0,0.67,0.0,0.0,8.77,2.89,1.06,2.7,1.83,0.87,4.91,15.41,2.22,12.62,1.73,6.84,4.05,1.54,0.0,0.1,0.1,0.1,0.1,0.67,0.0,0.1,0.39,0.19,0.0,19.56,8.48,6.36,0.1,0.39,0.39,0.0,0.0,0.0,3.66,0.0,0.19,209.0,2.09,0.19244935543278086,68.0,0.68,0.06261510128913444,84.0,0.84,0.07734806629834254,231.0,2.31,0.212707182320442,139.0,0.1279926335174954,0.2505347593582888,0.20935828877005347
13,13,Trump - Speech14 - Edited.txt,28/08/2017,2017-08-28,213,2457993.5,0.2678649715037264,2281.0,611.0,520.0,14.331521739130435,9.0,8.0,88.0,0.0,169.0,184.0,4.0,88.0,35.0,207.0,1.0,244.0,151.0,5.0,7.0,58.0,219.0,173.0,5.0,74.0,254.0,18.0,182.0,0.0,3.0,47.0,7.0,101.0,63.0,45.0,48.0,123.0,78.0,10.0,15.0,9.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,1,2163,42.8,81.26,31.31,79.01,11.76,16.78,87.93,57.79,17.38,10.36,3.24,2.64,2.68,0.88,0.92,7.03,7.86,12.16,11.93,6.61,6.61,0.97,20.39,5.18,2.36,1.2,1.94,2.59,5.64,4.25,1.34,0.23,0.37,0.18,11.05,0.05,0.09,0.09,0.83,12.39,3.01,0.74,2.68,3.05,1.66,3.28,1.66,0.46,0.92,0.23,0.69,0.0,0.51,0.0,0.05,9.94,3.56,0.74,3.14,1.94,1.06,3.7,13.18,3.28,12.11,2.27,6.24,3.98,1.94,0.05,0.0,1.25,0.0,0.09,1.02,0.0,0.0,0.69,0.32,0.0,21.08,7.91,7.81,0.14,0.05,0.65,0.0,0.23,0.37,3.79,0.0,0.14,471.0,4.71,0.20648838228846997,163.0,1.63,0.07145988601490574,182.0,1.82,0.0797895659798334,458.0,4.58,0.20078912757562473,272.0,0.1192459447610697,0.2594534915815622,0.21887938172784985
