,index,Filename,Date,JDate,Days,Julian,TTR,WordCount,UniqueWords,UniqueStems,MLU,Fillers,NSNouns,LIVerbs,$,",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PRP,PRP$,RB,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,PDT,POS,RBR,'',``,WP$,FW,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,Nouns,Nouns/100,NounsNormalised,Adjectives,Adjectives/100,AdjectivesNormalised,Adverbs,Adverbs/100,AdverbsNormalised,Verbs,Verbs/100,VerbsNormalised,Pronouns,PronounsNormalised,UniqueWordsNormalised,UniqueStemsNormalised
14,14,Trump - Speech15 - Edited.txt,07/09/2017,2017-09-07,223,2458003.5,0.3397027600849256,942.0,320.0,278.0,12.823529411764708,1.0,6.0,55.0,0.0,63.0,85.0,1.0,36.0,4.0,81.0,3.0,93.0,53.0,1.0,3.0,33.0,78.0,65.0,2.0,28.0,117.0,6.0,75.0,1.0,2.0,22.0,5.0,68.0,11.0,20.0,20.0,65.0,32.0,4.0,8.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1,899,30.08,81.92,50.16,75.34,10.58,16.02,92.44,60.51,19.13,11.46,4.12,4.0,2.45,0.11,0.78,7.68,7.56,11.12,14.68,4.89,6.34,1.89,24.58,5.23,2.34,1.11,0.78,1.89,6.56,4.45,1.78,0.67,0.44,0.11,12.35,0.0,0.11,0.0,0.33,15.35,4.23,1.22,3.34,3.78,2.34,3.67,2.11,1.22,0.78,0.11,0.0,0.0,0.0,0.0,0.0,12.57,5.23,2.78,3.0,2.11,1.0,3.67,17.13,2.45,12.46,2.11,5.34,5.23,1.78,0.0,0.11,0.78,0.0,0.22,1.45,0.0,0.22,0.78,0.44,0.0,21.13,9.23,7.01,0.0,0.11,0.67,0.0,0.0,0.0,3.89,0.0,0.22,173.0,1.73,0.18365180467091294,57.0,0.57,0.06050955414012739,78.0,0.78,0.08280254777070063,216.0,2.16,0.22929936305732485,123.0,0.1305732484076433,0.2573898494143893,0.21751254880089235
15,15,Trump - Speech16 - Edited.txt,26/09/2017,2017-09-26,242,2458022.5,0.3110084680523479,1299.0,404.0,355.0,14.18095238095238,9.0,2.0,40.0,0.0,84.0,105.0,2.0,60.0,12.0,105.0,0.0,134.0,94.0,2.0,1.0,27.0,118.0,88.0,2.0,43.0,149.0,25.0,104.0,1.0,4.0,26.0,2.0,56.0,36.0,36.0,42.0,78.0,40.0,7.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1221,29.07,85.09,27.23,70.47,11.63,14.91,89.03,58.8,18.26,11.71,3.52,4.26,1.72,0.57,1.64,6.55,6.88,11.38,13.1,5.98,8.03,1.56,21.62,5.16,2.21,0.49,1.72,1.97,6.88,4.5,2.13,0.25,0.33,0.57,12.78,0.16,0.0,0.0,0.57,10.57,2.38,0.82,1.8,1.64,1.88,3.28,1.97,0.82,1.06,0.08,1.47,0.66,0.33,0.08,0.41,11.71,4.67,0.98,3.52,2.13,0.57,5.49,13.1,1.15,10.57,0.98,6.14,3.69,2.7,0.33,0.25,0.08,0.0,0.08,0.74,0.0,0.0,0.33,0.41,0.0,20.97,8.6,6.88,0.08,0.08,0.25,0.0,0.0,0.0,5.08,0.0,0.0,251.0,2.51,0.19322555812163203,97.0,0.97,0.07467282525019246,106.0,1.06,0.08160123171670516,288.0,2.88,0.22170900692840648,174.0,0.13394919168591224,0.2627262443438914,0.22483031674208145
16,16,Trump - Speech17 - Edited.txt,16/10/2017,2017-10-16,262,2458042.5,0.1986317527718801,4239.0,842.0,700.0,14.01139601139601,31.0,16.0,237.0,2.0,325.0,351.0,8.0,151.0,59.0,358.0,6.0,397.0,238.0,8.0,10.0,68.0,435.0,204.0,15.0,153.0,545.0,29.0,365.0,0.0,13.0,138.0,14.0,216.0,80.0,131.0,71.0,329.0,135.0,10.0,25.0,21.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1,3951,28.86,78.74,53.42,75.94,11.26,13.31,91.6,60.87,18.78,12.05,3.92,3.54,2.15,0.91,1.52,6.71,6.4,12.71,13.64,6.71,6.83,1.9,24.37,4.45,1.8,1.21,1.85,2.48,5.11,3.85,1.14,0.05,0.25,0.25,12.07,0.05,0.1,0.23,0.78,11.52,2.13,1.01,1.9,2.68,1.29,3.95,1.77,1.06,0.53,0.18,1.04,0.2,0.63,0.03,0.2,10.58,4.07,1.7,3.09,1.97,0.46,3.59,17.44,3.19,14.33,2.76,7.14,4.58,2.38,0.25,0.05,1.06,0.05,0.03,1.32,0.03,0.0,0.53,0.76,0.0,22.75,8.76,8.23,0.08,0.13,0.18,0.0,0.15,0.0,5.14,0.0,0.1,807.0,8.07,0.19037508846426043,256.0,2.56,0.06039160179287568,368.0,3.68,0.0868129275772588,962.0,9.62,0.22694031611229062,574.0,0.13540929464496343,0.2518775274407857,0.21663778162911612
17,17,Trump - Speech18 - Edited.txt,17/10/2017,2017-10-17,263,2458043.5,0.2924281984334204,1532.0,448.0,404.0,15.49557522123894,7.0,0.0,73.0,0.0,105.0,113.0,1.0,68.0,13.0,151.0,2.0,160.0,104.0,9.0,1.0,31.0,152.0,72.0,12.0,76.0,177.0,12.0,119.0,1.0,7.0,40.0,3.0,61.0,19.0,48.0,24.0,113.0,42.0,3.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1454,44.66,83.74,47.55,98.43,12.87,15.61,90.92,57.91,16.09,10.11,2.68,3.78,1.51,0.14,1.99,5.98,7.91,12.24,12.38,6.05,7.29,1.17,22.01,5.02,1.99,0.83,1.31,3.09,7.02,6.26,0.62,0.07,0.0,0.07,11.21,0.0,0.28,0.0,0.14,11.14,2.96,1.99,0.96,2.34,1.72,2.82,2.2,1.17,0.55,0.48,0.48,0.07,0.28,0.07,0.0,13.2,4.4,2.2,3.92,3.37,0.34,2.96,15.27,3.65,13.27,2.34,7.7,3.78,2.54,0.14,0.21,1.72,0.21,0.21,0.89,0.0,0.0,0.62,0.28,0.0,20.22,7.63,7.22,0.07,0.0,0.28,0.0,0.34,0.0,4.61,0.0,0.07,312.0,3.12,0.20365535248041775,114.0,1.14,0.07441253263707572,120.0,1.2,0.0783289817232376,307.0,3.07,0.2003916449086162,189.0,0.12336814621409922,0.2577951002227171,0.21603563474387527
18,18,Trump - Speech19 - Edited.txt,06/11/2017,2017-11-06,283,2458063.5,0.3250401284109149,1246.0,405.0,350.0,19.013513513513512,1.0,5.0,49.0,2.0,87.0,74.0,3.0,53.0,10.0,114.0,0.0,135.0,87.0,4.0,5.0,33.0,122.0,44.0,8.0,50.0,144.0,13.0,103.0,0.0,6.0,23.0,1.0,62.0,23.0,21.0,31.0,72.0,50.0,8.0,5.0,7.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1,1179,25.24,78.74,34.81,54.51,15.93,15.69,91.18,61.83,19.17,9.75,2.71,2.54,2.37,0.93,1.19,9.41,6.87,11.79,13.57,6.7,8.4,1.1,21.63,5.43,3.14,1.36,1.7,3.31,5.09,3.22,1.7,0.08,0.17,0.51,11.45,0.08,0.17,0.0,1.02,13.06,2.12,1.1,2.63,3.65,0.93,4.58,1.95,1.19,0.76,0.0,0.34,0.0,0.34,0.0,0.0,7.8,2.97,1.27,2.37,1.36,0.68,4.33,14.76,2.21,12.81,1.95,6.53,4.5,2.21,0.0,0.0,1.44,0.25,0.08,0.25,0.0,0.0,0.0,0.25,0.0,18.49,6.19,7.38,0.0,0.25,0.08,0.0,0.42,0.17,3.82,0.0,0.17,224.0,2.24,0.1797752808988764,96.0,0.96,0.07704654895666131,105.0,1.05,0.08426966292134831,259.0,2.59,0.20786516853932585,157.0,0.1260032102728732,0.273678094131319,0.22922719349215573
19,19,Trump - Speech20 - Edited.txt,07/11/2017,2017-11-07,284,2458064.5,0.3350676378772112,961.0,322.0,290.0,16.191176470588236,2.0,1.0,50.0,0.0,70.0,68.0,3.0,39.0,5.0,92.0,4.0,93.0,45.0,2.0,7.0,26.0,95.0,55.0,1.0,24.0,123.0,7.0,69.0,0.0,6.0,25.0,2.0,59.0,17.0,24.0,21.0,64.0,32.0,9.0,9.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1,908,21.62,77.97,40.08,93.97,13.16,12.33,92.29,61.67,21.37,12.33,3.74,4.19,2.53,0.66,1.21,9.03,6.39,11.23,13.33,5.62,6.94,2.31,24.34,3.52,1.98,1.98,0.99,3.08,5.84,5.07,0.66,0.0,0.0,0.0,12.11,0.0,0.0,0.0,0.88,16.08,3.96,1.43,3.19,4.19,1.21,5.07,2.09,0.55,0.77,0.33,0.22,0.11,0.0,0.11,0.0,10.35,4.74,0.55,2.75,1.65,0.88,3.85,16.96,2.64,10.57,1.43,6.61,2.64,0.88,0.22,0.0,1.43,0.11,0.22,0.77,0.0,0.0,0.44,0.33,0.0,20.37,7.27,7.71,0.22,0.11,0.33,0.0,0.0,0.0,4.74,0.0,0.0,175.0,1.75,0.18210197710718,54.0,0.54,0.05619146722164412,70.0,0.7,0.07284079084287201,217.0,2.17,0.22580645161290322,130.0,0.13527575442247658,0.24057084607543322,0.20489296636085627
20,20,Trump - Speech21 - Edited.txt,12/11/2017,2017-11-12,289,2458069.5,0.4050632911392405,553.0,224.0,201.0,15.414634146341465,2.0,8.0,23.0,0.0,38.0,41.0,2.0,24.0,3.0,34.0,6.0,59.0,30.0,0.0,0.0,9.0,51.0,29.0,0.0,16.0,56.0,9.0,55.0,0.0,0.0,26.0,1.0,35.0,23.0,8.0,10.0,27.0,26.0,4.0,5.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,525,23.13,53.81,32.56,65.47,12.8,17.52,92.19,62.48,21.14,9.71,4.19,2.48,0.38,1.71,0.95,11.43,4.57,13.71,11.62,7.05,7.62,2.1,22.48,3.62,1.71,1.71,1.14,1.14,6.86,4.38,2.29,0.19,0.38,0.0,8.95,0.0,0.19,0.38,1.33,17.33,5.71,1.71,2.48,2.67,2.1,4.57,1.9,0.38,0.76,0.76,0.38,0.0,0.38,0.0,0.0,11.81,3.24,1.9,2.29,3.43,1.33,5.14,16.95,0.57,8.0,0.19,5.33,2.86,2.29,0.19,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.57,0.0,0.0,19.05,7.81,7.24,0.0,0.38,0.0,0.0,0.0,0.38,3.24,0.0,0.0,96.0,0.96,0.1735985533453888,30.0,0.3,0.054249547920433995,56.0,0.56,0.10126582278481013,129.0,1.29,0.2332730560578662,65.0,0.11754068716094032,0.23919172932330826,0.19713345864661655
21,21,Trump - Speech22 - Edited.txt,10/01/2018,2018-01-10,348,2458128.5,0.314066852367688,1436.0,451.0,391.0,13.504065040650406,2.0,5.0,40.0,0.0,97.0,123.0,8.0,65.0,7.0,155.0,6.0,148.0,80.0,6.0,2.0,26.0,173.0,76.0,11.0,41.0,156.0,19.0,100.0,0.0,9.0,30.0,1.0,60.0,49.0,33.0,22.0,80.0,45.0,8.0,7.0,9.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,1,1356,32.36,70.24,35.71,90.38,11.02,14.82,90.12,60.77,19.1,10.1,3.32,3.54,1.7,0.44,1.11,9.0,7.45,12.09,11.8,6.27,7.23,2.51,20.72,4.28,1.99,1.33,0.59,3.17,7.45,5.68,1.77,0.0,0.15,0.29,10.03,0.0,0.0,0.29,0.22,13.5,2.43,1.18,2.21,3.24,1.62,4.13,2.51,0.74,1.18,0.29,0.44,0.0,0.15,0.0,0.15,11.65,3.69,2.06,3.32,2.14,1.33,4.79,13.5,1.77,11.58,1.47,6.86,3.24,2.58,0.15,0.07,0.44,0.07,0.07,0.81,0.0,0.0,0.44,0.37,0.0,21.31,8.48,7.15,0.37,0.22,0.59,0.0,0.07,0.15,4.13,0.0,0.15,301.0,3.01,0.2096100278551532,88.0,0.88,0.06128133704735376,103.0,1.03,0.07172701949860724,289.0,2.89,0.2012534818941504,175.0,0.12186629526462396,0.25572621934788464,0.21719213150094313
22,22,Trump - Speech23 - Edited.txt,23/02/2018,2018-02-23,392,2458172.5,0.2505116659844453,2443.0,612.0,530.0,14.946236559139784,6.0,11.0,125.0,0.0,149.0,186.0,7.0,109.0,15.0,221.0,5.0,225.0,148.0,10.0,3.0,53.0,236.0,137.0,11.0,95.0,279.0,19.0,177.0,0.0,11.0,85.0,4.0,147.0,47.0,59.0,43.0,147.0,87.0,19.0,12.0,16.0,2.0,1.0,4.0,5.0,5.0,0.0,1.0,1,2294,34.45,84.93,25.71,73.04,12.27,13.91,90.98,59.94,17.96,10.51,2.62,3.01,1.87,1.61,1.39,7.45,6.97,12.55,12.99,6.1,7.06,1.96,22.76,4.71,2.09,1.22,1.05,1.92,5.93,4.14,1.61,0.09,0.44,0.0,13.56,0.17,0.13,0.7,1.31,11.38,1.96,1.53,2.01,2.4,1.35,3.53,1.44,0.52,0.74,0.17,0.57,0.0,0.22,0.0,0.0,11.2,4.14,1.48,3.14,2.31,0.78,3.53,16.22,2.48,12.6,2.09,7.06,3.49,2.66,0.17,0.22,1.05,0.17,0.17,0.74,0.0,0.0,0.31,0.35,0.0,20.92,7.93,6.5,0.09,0.22,0.31,0.0,0.44,0.44,5.01,0.0,0.0,479.0,4.79,0.19607040523945968,161.0,1.61,0.0659025787965616,181.0,1.81,0.07408923454768727,530.0,5.3,0.21694637740483014,298.0,0.12198117069177242,0.2630992196209587,0.22826086956521738
23,23,Trump - Speech24 - Edited.txt,06/03/2018,2018-03-06,403,2458183.5,0.2396883593033913,2182.0,523.0,446.0,13.765027322404372,18.0,3.0,92.0,8.0,152.0,183.0,22.0,108.0,30.0,174.0,7.0,197.0,116.0,9.0,6.0,35.0,186.0,97.0,6.0,79.0,288.0,25.0,208.0,0.0,10.0,49.0,3.0,100.0,28.0,63.0,48.0,176.0,70.0,5.0,6.0,9.0,0.0,0.0,4.0,6.0,6.0,0.0,0.0,1,2040,20.76,80.17,47.91,85.67,11.15,14.22,91.03,60.44,19.22,12.4,3.73,5.29,1.27,0.15,1.96,6.81,5.49,11.52,12.89,6.96,8.09,2.21,22.84,4.66,2.16,0.88,2.01,3.14,6.18,4.71,1.27,0.05,0.29,0.44,12.3,0.0,0.15,0.0,0.15,13.04,2.84,1.47,1.52,1.96,1.57,4.46,2.11,1.13,0.54,0.29,0.05,0.0,0.0,0.0,0.0,12.06,6.23,1.52,2.45,1.96,1.03,3.73,15.88,2.3,11.32,1.86,7.06,2.55,3.38,0.0,0.49,1.37,0.1,0.1,0.83,0.0,0.0,0.15,0.69,0.0,24.56,8.82,7.45,0.1,0.25,0.15,0.0,1.62,0.59,5.2,0.0,0.39,368.0,3.68,0.1686526122823098,131.0,1.31,0.06003666361136572,212.0,2.12,0.09715857011915674,485.0,4.85,0.22227314390467462,313.0,0.14344637946837763,0.2679087696755541,0.23128814648249277
24,24,Trump - Speech25 - Edited.txt,24/04/2018,2018-04-24,452,2458232.5,0.2497796062297972,3403.0,850.0,731.0,14.659090909090908,9.0,7.0,136.0,7.0,200.0,264.0,5.0,149.0,34.0,275.0,5.0,363.0,221.0,4.0,7.0,88.0,336.0,259.0,16.0,109.0,375.0,49.0,224.0,0.0,15.0,97.0,5.0,177.0,76.0,69.0,82.0,180.0,92.0,14.0,27.0,10.0,0.0,9.0,1.0,13.0,13.0,0.0,0.0,1,3194,42.81,83.41,26.61,83.21,12.14,15.78,88.76,58.48,17.97,11.43,3.38,3.6,1.66,1.22,1.57,6.54,6.7,13.31,12.05,4.79,6.92,1.75,20.57,4.16,1.78,1.35,1.38,1.94,6.54,4.82,1.6,0.38,0.69,0.09,12.87,0.13,0.19,0.0,1.6,11.49,1.94,1.22,2.54,1.82,1.85,3.29,1.75,0.44,1.03,0.13,0.56,0.16,0.31,0.0,0.03,11.83,4.54,1.47,4.07,1.78,0.85,4.1,12.52,2.32,12.4,1.6,6.54,4.26,3.1,0.19,0.34,0.91,0.06,0.28,0.69,0.0,0.0,0.34,0.34,0.0,20.44,7.92,6.26,0.09,0.06,0.53,0.0,0.34,0.81,4.07,0.0,0.34,720.0,7.2,0.2115780193946518,232.0,2.32,0.06817513958272113,225.0,2.25,0.06611813106082869,676.0,6.76,0.1986482515427564,424.0,0.12459594475462826,0.26822157434402333,0.2294460641399417
25,25,Trump - Speech26 - Edited.txt,27/04/2018,2018-04-27,455,2458235.5,0.2297979797979798,2376.0,546.0,461.0,15.162011173184355,10.0,15.0,100.0,15.0,159.0,177.0,40.0,87.0,36.0,218.0,7.0,210.0,131.0,14.0,5.0,59.0,212.0,107.0,9.0,85.0,324.0,9.0,140.0,2.0,10.0,70.0,4.0,123.0,75.0,76.0,45.0,150.0,70.0,16.0,14.0,9.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1,2205,31.7,80.04,30.34,90.69,12.32,14.51,90.93,59.68,20.82,12.2,4.63,3.54,1.68,1.27,1.09,8.62,7.62,11.43,12.79,5.26,6.21,1.59,23.36,4.81,2.45,1.18,2.22,3.04,5.9,4.9,0.95,0.09,0.27,0.09,13.11,0.09,0.0,0.05,1.59,12.52,2.63,1.18,1.95,2.95,1.09,3.67,1.68,0.41,1.0,0.27,0.54,0.14,0.23,0.0,0.0,10.29,4.35,0.82,3.13,2.0,0.27,5.17,15.19,2.45,10.2,1.95,5.53,2.86,3.17,0.14,0.05,1.32,0.0,0.05,0.54,0.0,0.0,0.41,0.14,0.0,25.71,7.71,7.44,0.0,0.32,0.63,0.0,3.04,0.0,5.58,0.0,1.0,413.0,4.13,0.17382154882154882,150.0,1.5,0.06313131313131314,143.0,1.43,0.06018518518518518,539.0,5.39,0.22685185185185186,333.0,0.14015151515151514,0.24646572419311816,0.20672179247799413
26,26,Trump - Speech27 - Edited.txt,30/04/2018,2018-04-30,458,2458238.5,0.2575934579439252,1712.0,441.0,377.0,11.951219512195122,10.0,6.0,70.0,4.0,81.0,163.0,19.0,81.0,16.0,159.0,7.0,151.0,91.0,8.0,4.0,40.0,162.0,72.0,3.0,61.0,216.0,13.0,141.0,0.0,7.0,45.0,6.0,93.0,33.0,45.0,26.0,108.0,66.0,11.0,15.0,6.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1,1595,23.16,79.77,46.26,94.93,9.67,17.87,92.41,60.69,19.44,11.03,3.07,4.45,2.01,0.31,1.19,8.4,6.9,11.29,12.73,6.33,7.96,2.95,22.63,3.64,1.82,1.5,1.19,3.01,6.14,5.27,0.69,0.06,0.25,0.0,11.6,0.0,0.06,0.0,0.31,13.67,3.39,1.44,2.13,3.32,1.63,3.7,1.82,1.19,0.63,0.0,0.13,0.0,0.06,0.0,0.0,12.6,4.83,2.01,3.95,2.07,0.56,3.32,16.43,2.13,12.73,1.63,8.46,2.82,2.76,0.25,0.13,1.07,0.06,0.0,1.0,0.0,0.0,0.38,0.63,0.0,24.95,10.34,5.08,0.13,0.0,0.69,0.0,2.01,0.19,5.83,0.0,0.69,298.0,2.98,0.17406542056074767,103.0,1.03,0.06016355140186916,143.0,1.43,0.08352803738317757,371.0,3.71,0.2167056074766355,229.0,0.13376168224299065,0.2639578163771712,0.22766749379652607
27,27,Trump - Speech28 - Edited.txt,01/06/2018,2018-06-01,490,2458270.5,0.1871803614047051,2933.0,549.0,447.0,11.63230240549828,16.0,12.0,137.0,4.0,159.0,291.0,44.0,108.0,41.0,237.0,3.0,241.0,152.0,2.0,5.0,78.0,229.0,115.0,5.0,94.0,427.0,21.0,225.0,1.0,20.0,94.0,6.0,190.0,77.0,98.0,45.0,229.0,99.0,8.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2706,19.92,83.36,54.59,85.32,9.3,12.49,92.68,61.49,20.99,13.3,4.55,4.58,2.37,0.41,1.4,7.69,6.25,11.9,14.19,6.5,6.47,2.77,27.24,3.25,1.07,1.4,1.63,1.7,5.28,4.32,0.92,0.18,0.3,0.22,14.23,0.07,0.18,0.0,0.55,14.08,2.85,1.55,2.33,2.48,1.44,4.18,2.25,1.59,0.63,0.04,0.22,0.0,0.0,0.0,0.0,11.09,5.62,1.18,2.62,2.4,0.37,4.62,18.11,3.4,12.86,2.7,6.06,4.25,2.88,0.07,0.15,1.07,0.0,0.18,1.0,0.0,0.0,0.33,0.63,0.0,26.94,9.9,5.91,0.07,0.15,0.85,0.0,2.99,0.0,6.76,0.0,0.3,443.0,4.43,0.1510398908966928,159.0,1.59,0.05421070576201841,226.0,2.26,0.07705421070576202,738.0,7.38,0.2516195022161609,448.0,0.15274463007159905,0.2635958395245171,0.224962852897474
28,28,Trump - Speech29 - Edited.txt,16/07/2018,2018-07-16,535,2458315.5,0.3000838222967309,2386.0,716.0,591.0,12.734597156398104,7.0,9.0,88.0,0.0,89.0,211.0,1.0,82.0,28.0,236.0,10.0,256.0,143.0,5.0,5.0,42.0,278.0,163.0,15.0,94.0,223.0,34.0,173.0,4.0,7.0,79.0,1.0,124.0,90.0,50.0,44.0,110.0,47.0,7.0,12.0,19.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1,2374,49.56,79.66,42.87,87.72,11.15,18.11,89.55,57.29,16.81,10.15,3.92,3.83,1.1,0.38,0.93,6.66,7.03,13.06,11.2,6.19,5.52,1.47,19.67,3.62,1.81,1.39,1.6,2.78,6.99,5.31,1.68,0.38,0.55,0.13,11.5,0.04,0.0,0.08,0.42,11.67,2.95,1.26,1.64,2.36,1.94,2.74,1.9,0.67,0.88,0.29,0.04,0.0,0.04,0.0,0.0,12.97,4.89,2.74,4.3,2.02,0.8,5.05,13.14,1.64,12.34,1.43,6.91,4.17,3.75,0.08,0.04,0.17,0.04,0.08,0.55,0.0,0.0,0.17,0.38,0.0,15.5,8.59,3.83,0.04,0.0,0.38,0.0,0.17,0.04,2.44,0.0,0.0,550.0,5.5,0.23051131601005867,153.0,1.53,0.06412405699916178,180.0,1.8,0.07544006705783739,465.0,4.65,0.19488683989941324,257.0,0.1077116512992456,0.27754415475189237,0.23507148864592095
